NAME    LJ_WDEPTH   LJ_RADIUS   LJ_3B_WDEPTH    LJ_3B_RADIUS
C1       -0.24942     2.077      -0.24942     2.077
Ch1      -0.41986     2.074      -0.41986     2.074
C2       -0.17460     2.178      -0.17460     2.178
C3       -0.33256     2.144      -0.33256     2.144
Ch3      -0.81477     2.105      -0.81477     2.105
N1       -0.71128    1.824       -0.71128     1.824
H1       -0.00000     0.000      -0.00000     0.000
O1       -0.65681     1.712      -0.65681     1.712
O2       -0.45727     1.571      -0.45727     1.571
