NAME    LJ_WDEPTH   LJ_RADIUS   LJ_3B_WDEPTH    LJ_3B_RADIUS
# Rosetta atom_properties file
# Generated using itp_to_param.py
# Original file: terphenyl_mop_hexamer.top
# Author: tfobe
# Date: Tuesday, 15. November 2022
# Time: 03:40PM
# System: Linux-5.14.0-1054-oem-x86_64-with-glibc2.31
h47  -0.06532   1.44381  -0.06532   1.44381
h48  -0.06532   1.44381  -0.06532   1.44381
h49  -0.06532   1.44381  -0.06532   1.44381
h50  -0.06532   1.44381  -0.06532   1.44381
h51  -0.06866   1.44979  -0.06866   1.44979
h52  -0.05896   0.61928  -0.05896   0.61928
h53  -0.06602    1.4842  -0.06602    1.4842
h54  -0.06602    1.4842  -0.06602    1.4842
h55  -0.06602    1.4842  -0.06602    1.4842
h56  -0.06532   1.44381  -0.06532   1.44381
h57  -0.06532   1.44381  -0.06532   1.44381
c67  -0.3635   1.95345   -0.3635   1.95345
o7   -0.8795   1.70604   -0.8795   1.70604
c68  -0.3635   1.95345   -0.3635   1.95345
c69  -0.3635   1.95345   -0.3635   1.95345
c70  -0.3635   1.95345   -0.3635   1.95345
c71  -0.3635   1.95345   -0.3635   1.95345
c72  -0.3635   1.95345   -0.3635   1.95345
c73  -0.3635   1.95345   -0.3635   1.95345
c74  -0.3635   1.95345   -0.3635   1.95345
c75  -0.3635   1.95345   -0.3635   1.95345
o8   -0.70486   1.69778  -0.70486   1.69778
c76  -0.45539    1.8967  -0.45539    1.8967
c77  -0.3635   1.95345   -0.3635   1.95345
c78  -0.3635   1.95345   -0.3635   1.95345
c79  -0.3635   1.95345   -0.3635   1.95345
c80  -0.3635   1.95345   -0.3635   1.95345
c81  -0.3635   1.95345   -0.3635   1.95345
c82  -0.3635   1.95345   -0.3635   1.95345
c83  -0.3635   1.95345   -0.3635   1.95345
c84  -0.3635   1.95345   -0.3635   1.95345
c85  -0.45539    1.8967  -0.45539    1.8967
n4   -0.70162    1.7998  -0.70162    1.7998
c86  -0.45539    1.8967  -0.45539    1.8967
c87  -0.3635   1.95345   -0.3635   1.95345
c88  -0.3635   1.95345   -0.3635   1.95345
h58  -0.06532   1.44381  -0.06532   1.44381
h59  -0.06532   1.44381  -0.06532   1.44381
h60  -0.06532   1.44381  -0.06532   1.44381
h61  -0.06866   1.44979  -0.06866   1.44979
h62  -0.06866   1.44979  -0.06866   1.44979
h63  -0.06866   1.44979  -0.06866   1.44979
h64  -0.06532   1.44381  -0.06532   1.44381
h65  -0.06532   1.44381  -0.06532   1.44381
h66  -0.06532   1.44381  -0.06532   1.44381
