sc_size,eps,n_clusters,avg_silhouette_score,min_z_score*,minimum_energy,min_energy_cluster_rmsd,min_energy_avg_intermedoid_rmsd,noise_cluster,rmse_helix,rmse_cyl,min_medoid
0.5,0.06551724137931035,3,0.861673663908096,0.005759965795559312,-28.79817397882424,0.033154560750063095,0.17456583678722382,True,15.16011927343886,102.54285770699784,medoid_0
0.8888888888888888,0.05,75,0.8628511679301523,0.4618126781889156,-38.22298891483629,0.017562943546103566,0.17116934061050415,True,15.13672731094703,89.18164294255708,medoid_26
1.2777777777777777,0.05,29,0.8480923474498231,0.009569122439450671,-39.51699420591994,0.04233876838673754,0.09087597578763962,True,0.38190526383071827,0.9378900637110914,medoid_0
1.6666666666666667,0.06551724137931035,3,0.8779143239095419,0.17274808185254412,-26.395605128002867,0.04874476649423917,0.17933320999145508,True,5.514552296601209,37.74632008746601,medoid_0
2.0555555555555554,0.05,31,0.9401290510552404,0.0844934941746966,-6.899779305345335,0.009248368360355126,0.14360561966896057,True,5.984592938707467,41.03298215068463,medoid_27
2.4444444444444446,0.17413793103448277,3,0.6596582164248872,1.499076601575696,45.44144353187964,0.066376290971392,0.21041597425937653,False,4.997417294196508,48.26439967385696,medoid_1
2.8333333333333335,0.17413793103448277,3,0.6888091846780664,2.1778240016923838,157.8274107696218,0.07117051809123641,0.2817443609237671,False,4.827757227219497,51.33820849796493,medoid_1
3.2222222222222223,0.2206896551724138,57,0.6200716637676305,0.7567653888354692,40.93621951582446,0.006619478231529104,0.26895982027053833,True,10.767987657076496,68.38517195871472,medoid_25
3.611111111111111,0.05,43,0.8874667807259883,0.379730424144735,-12.93800572639389,0.031682666384724084,0.29348811507225037,True,7.750000680626706,47.25165857249976,medoid_9
4.0,0.3137931034482758,51,0.6393612225789417,0.921440851657555,-9.949869601013315,0.02525875799952118,0.326204389333725,True,8.14835528542986,60.51498323078145,medoid_30
