eps,min_samples,avg_silhouette,n_clusters
0.07500000000000001,50,0.0410913092492809,25
0.07500000000000001,150,0.31335507278601143,12
0.1,200,0.2907337977020891,2
0.05,50,0.6807539442143842,93
0.125,350,-0.07788452537474239,1
0.07500000000000001,250,0.5153334844973965,10
0.05,250,0.8922238365640746,2
0.07500000000000001,200,0.34796074669686133,13
0.125,300,-0.07788452537479049,1
0.1,300,0.33232424220906503,2
0.1,150,0.2907337977021551,2
0.1,50,0.2107656730305757,3
0.07500000000000001,350,0.43849712038140887,4
0.07500000000000001,300,0.3720335650744185,6
0.1,250,0.31602757087425687,2
0.07500000000000001,100,0.12138593409889928,29
0.1,350,0.33473231870713627,2
0.05,150,0.787764639014199,6
0.1,100,0.21076567303058721,3
0.05,200,0.8097074162290294,5
0.05,100,0.7143269108393484,67
