eps,min_samples,avg_silhouette,n_clusters
0.07500000000000001,250,0.49973962115118514,4
0.05,100,0.08218179359032865,13
0.07500000000000001,350,0.6347393945943005,2
0.07500000000000001,100,0.45023006692626505,5
0.05,150,0.2995123930358082,9
0.1,300,0.03561803611059827,1
0.07500000000000001,50,0.5016368623138997,5
0.1,150,0.015536332518909908,1
0.05,300,0.83531086185868,1
0.05,200,0.5567734416742961,6
0.1,350,0.5325114513483418,2
0.05,50,0.12425856277635305,21
0.07500000000000001,150,0.46327781089917924,4
0.07500000000000001,200,0.5547258684172203,3
0.1,250,0.033872996344988256,1
0.05,250,0.5083866518104286,5
0.07500000000000001,300,0.5852993675983216,3
0.1,200,0.03589035917217855,1
