eps,min_samples,avg_silhouette,n_clusters
0.25,200,-0.0364418043500888,1
0.125,350,0.7499292838839644,7
0.07500000000000001,200,0.7506114561982785,9
0.15000000000000002,250,0.6999880027848141,11
0.1,100,0.6810987469174985,42
0.275,250,-0.0067187499926014685,1
0.22500000000000003,300,0.26543654657871735,4
0.25,150,-0.07156559044659877,2
0.22500000000000003,350,0.2671785424277573,4
0.05,200,0.9236982822476772,1
0.2,100,0.3172987076696314,23
0.1,200,0.7566488600938127,11
0.25,350,0.05753023934126365,2
0.175,50,0.5559299140814612,43
0.2,350,0.4493017972987595,10
0.22500000000000003,50,-0.05757439920128988,7
0.25,50,-0.07458779750172853,1
0.15000000000000002,100,0.649369696919492,43
0.15000000000000002,300,0.6864769823915466,11
0.1,150,0.675168187511789,22
0.175,150,0.5864787934270803,26
0.07500000000000001,50,0.6364900704256349,66
0.15000000000000002,150,0.6603258207923098,27
0.175,100,0.5710945163734928,38
0.2,50,0.2773238408412323,27
0.175,350,0.6872268757588555,10
0.07500000000000001,300,0.8552337295465551,1
0.175,250,0.6269539834252132,12
0.125,250,0.7230483017748329,11
0.2,200,0.41115136393421964,10
0.22500000000000003,250,0.1926807771515897,7
0.125,100,0.667123726975014,44
0.15000000000000002,350,0.7105929782840178,9
0.22500000000000003,150,0.08209414097870554,5
0.25,300,-0.040582523711348045,1
0.22500000000000003,200,0.12668648035704524,3
0.22500000000000003,100,-0.030565176927115238,7
0.1,300,0.7913077201319453,7
0.05,50,0.6693116969118708,46
0.125,150,0.6742766753922356,26
0.125,200,0.6803444359065145,15
0.2,300,0.4394081231598132,10
0.15000000000000002,200,0.6579503690509835,15
0.07500000000000001,250,0.8212766494842649,5
0.25,100,-0.0723846711627608,2
0.2,250,0.4369167162522211,10
0.15000000000000002,50,0.6408943338817858,55
0.1,250,0.785222887458094,9
0.275,350,-0.008018495810990548,1
0.05,100,0.7550333830881929,7
0.275,300,-0.008018495813618349,1
0.175,300,0.6813284198491795,10
0.1,50,0.6645539179304,59
0.2,150,0.328749577030702,17
0.125,50,0.6554634256779769,58
0.07500000000000001,150,0.7431908876468352,14
0.1,350,0.7911553271487897,5
0.125,300,0.7397876898383939,8
0.175,200,0.6086848898252827,14
0.25,250,-0.038736388564413575,1
0.07500000000000001,100,0.683211918933198,40
0.05,150,0.9220497832719349,1
