eps,min_samples,avg_silhouette,n_clusters
0.1,300,0.536817452018466,8
0.07500000000000001,200,0.9545368771252013,18
0.175,300,0.5046640216724004,3
0.07500000000000001,150,0.9545368771317336,18
0.2,250,0.0380559415996327,1
0.2,300,0.038055941599824256,1
0.15000000000000002,300,0.5127846786125464,4
0.05,100,0.954536877131488,18
0.2,50,0.043448702533125584,2
0.2,200,0.03805594159964235,1
0.1,100,0.5368174520157877,8
0.125,200,0.512784678620805,4
0.05,50,0.9497178771745717,23
0.15000000000000002,150,0.512784678614712,4
0.05,250,0.9558826681790413,17
0.125,350,0.5127846786190293,4
0.125,50,0.4685113049980592,7
0.07500000000000001,100,0.9545368771348565,18
0.05,150,0.9545368771314624,18
0.2,350,0.03805594160126728,1
0.175,250,0.5046640216690502,3
0.1,250,0.5368174520161891,8
0.125,150,0.5127846786215581,4
0.1,200,0.5368174520169295,8
0.175,200,0.5046640216708199,3
0.07500000000000001,350,0.9576326426412336,15
0.2,100,0.03805594159860602,1
0.15000000000000002,200,0.5127846786197862,4
0.1,350,0.5368174520231569,8
0.175,100,0.4695943416255178,4
0.2,150,0.03805594159914216,1
0.1,50,0.5431218701908311,11
0.15000000000000002,250,0.5127846786181394,4
0.125,100,0.5127846786187854,4
0.15000000000000002,350,0.5127846786188419,4
0.07500000000000001,300,0.9559012033878136,16
0.15000000000000002,50,0.46851130499824734,7
0.175,50,0.4724691983387017,5
0.125,300,0.5127846786222215,4
0.07500000000000001,250,0.9558826681766918,17
0.175,150,0.5046640216711747,3
0.05,200,0.954536877130325,18
0.1,150,0.5368174520172262,8
0.175,350,0.5046640216704653,3
0.05,300,0.9559012033770697,16
0.07500000000000001,50,0.9497178771706499,23
0.05,350,0.9576326426436688,15
0.125,250,0.5127846786192162,4
0.15000000000000002,100,0.5127846786183256,4
