eps,min_samples,avg_silhouette,n_clusters
0.2,350,0.6559449944237092,5
0.2,250,0.6397892549095103,7
0.15000000000000002,100,0.7476797824167948,11
0.15000000000000002,250,0.74767978241682,11
0.2,300,0.6559449944305545,5
0.2,100,0.6397892549058726,7
0.15000000000000002,350,0.7628762677435779,7
0.22500000000000003,100,0.31902755362880236,4
0.22500000000000003,150,0.3190275536294703,4
0.125,350,0.8982406269025404,8
0.05,150,0.9681412447592891,22
0.05,350,0.9782068393657299,10
0.1,300,0.9636750250097751,10
0.07500000000000001,250,0.9714612898281376,20
0.1,100,0.9351715838816386,20
0.1,250,0.9351010404596598,19
0.2,150,0.6397892549046861,7
0.07500000000000001,200,0.9683071531387858,21
0.175,350,0.7628762677546608,7
0.07500000000000001,350,0.9782068393631318,10
0.175,200,0.747679782418261,11
0.05,200,0.9683071531196502,21
0.15000000000000002,150,0.7476797824214443,11
0.05,50,0.9678332548493275,23
0.05,250,0.9714612898424906,20
0.1,150,0.935171583876083,20
0.1,50,0.9349601356637677,21
0.22500000000000003,300,0.31225506396997416,3
0.1,200,0.9351010404667263,19
0.125,250,0.8760133977388226,15
0.05,100,0.9681412447604316,22
0.125,300,0.8982406269039521,8
0.22500000000000003,350,0.31225506397322933,3
0.15000000000000002,300,0.7628762677494556,7
0.175,100,0.74767978241634,11
0.05,300,0.9782068393756639,10
0.125,200,0.8760133977446227,15
0.22500000000000003,250,0.31902755362957863,4
0.175,150,0.7476797824087194,11
0.1,350,0.9636750250137842,10
0.125,100,0.876497715854104,16
0.125,150,0.8764977158959333,16
0.175,250,0.747679782421422,11
0.175,300,0.7628762677460104,7
0.2,200,0.6397892549052562,7
0.2,50,0.6397892548948656,7
0.07500000000000001,150,0.9681412447558783,22
0.07500000000000001,300,0.9782068393606843,10
0.22500000000000003,50,0.3190275536278997,4
0.125,50,0.8768021903015782,17
0.15000000000000002,50,0.7476797824099716,11
0.07500000000000001,100,0.9681412447513598,22
0.22500000000000003,200,0.31902755362859314,4
0.175,50,0.7476797823943199,11
0.15000000000000002,200,0.747679782414857,11
0.07500000000000001,50,0.9678332548299672,23
