eps,min_samples,avg_silhouette,n_clusters
0.2,150,0.1641903130461533,3
0.175,100,0.13703363111630285,7
0.2,100,0.1641903130458349,3
0.05,50,0.7679639611897225,41
0.125,250,0.7610916941087372,23
0.2,350,0.16088233480460362,2
0.25,100,-0.009455180538725799,2
0.05,100,0.812276052666309,33
0.07500000000000001,50,0.7498883673496296,44
0.05,250,0.8530841916329119,20
0.15000000000000002,250,0.620106679136922,14
0.125,300,0.7542619304389369,18
0.1,50,0.760946064160301,34
0.175,150,0.13703363111915953,7
0.1,250,0.823973704802485,24
0.125,100,0.7637982456012905,27
0.25,150,-0.009455180540490092,2
0.15000000000000002,200,0.6021734915916005,18
0.07500000000000001,300,0.8335730204150338,19
0.07500000000000001,250,0.8306350719260432,24
0.125,50,0.763420008284451,27
0.22500000000000003,250,0.164190313043583,3
0.15000000000000002,50,0.6021734915912808,18
0.1,300,0.8279418074057187,19
0.125,200,0.764739624851515,27
0.125,350,0.7546435528837779,18
0.05,350,0.8570242936319792,16
0.15000000000000002,150,0.6021734915922856,18
0.22500000000000003,100,0.1641903130457148,3
0.1,350,0.8291033262070121,19
0.07500000000000001,200,0.8317110373609107,29
0.07500000000000001,100,0.8050626090068964,33
0.175,300,0.24181696122217283,3
0.05,200,0.8430638448765706,27
0.15000000000000002,100,0.602173491589455,18
0.175,50,0.13703363111762817,7
0.25,200,-0.009455180540184044,2
0.1,100,0.8000851526272595,30
0.25,50,-0.009455180539160274,2
0.22500000000000003,200,0.16419031304670556,3
0.2,300,0.1608823348053182,2
0.25,350,-0.019391511545698188,1
0.07500000000000001,150,0.8226280251742204,30
0.125,150,0.7640311062597024,27
0.175,250,0.12894105085440905,6
0.175,350,0.24175490138095188,3
0.22500000000000003,300,0.1560123998803233,2
0.15000000000000002,300,0.6387232018522488,9
0.05,150,0.8387664462605902,28
0.15000000000000002,350,0.6387232018514225,9
0.22500000000000003,150,0.16419031304721202,3
0.05,300,0.8548161593687797,16
0.22500000000000003,50,0.16419031304655732,3
0.07500000000000001,350,0.8390539674413265,18
0.2,200,0.16419031304751686,3
0.22500000000000003,350,0.1560123998794875,2
0.25,250,-0.009455180541166331,2
0.1,200,0.8251292463235351,28
0.175,200,0.13703363111643785,7
0.25,300,-0.019391511547779423,1
0.2,50,0.1641903130451967,3
0.2,250,0.16419031304647266,3
0.1,150,0.8143042582117723,29
