eps,min_samples,avg_silhouette,n_clusters
0.1,50,0.5816266191158316,43
0.175,350,-0.13173267448399142,1
0.1,250,0.6758208048304116,5
0.07500000000000001,350,0.7612563023140151,5
0.1,100,0.5794718871719375,30
0.07500000000000001,300,0.7538329614361975,6
0.175,250,-0.14297580164099408,1
0.05,50,0.8263642388669901,70
0.07500000000000001,200,0.7573466651030274,9
0.125,100,0.3479795811168095,15
0.125,300,0.557051893817065,4
0.07500000000000001,250,0.760514526235853,7
0.05,350,0.8395389644012192,7
0.125,50,0.35527690350614616,18
0.175,300,-0.14297580164104262,1
0.07500000000000001,50,0.6629735543947541,57
0.125,250,0.4936750079439812,6
0.125,150,0.42944571787918673,9
0.125,200,0.4816905961813356,8
0.1,350,0.6802067104201935,4
0.05,100,0.8238485826897076,53
0.15000000000000002,150,0.33573896734730785,4
0.15000000000000002,300,0.37664285890557053,3
0.07500000000000001,150,0.6905291724514218,13
0.05,250,0.8465285594703734,8
0.05,300,0.8395389644013621,7
0.1,200,0.6450781741922119,7
0.1,300,0.6791847006191919,4
0.15000000000000002,200,0.3766428589055642,3
0.15000000000000002,250,0.37664285890556476,3
0.15000000000000002,100,0.25003816094404807,4
0.05,200,0.8444919376227776,12
0.05,150,0.8246163131840485,18
0.07500000000000001,100,0.6549007284922738,41
0.15000000000000002,350,0.3766428589055879,3
0.1,150,0.571588526536668,8
0.15000000000000002,50,0.2500381609439145,4
0.125,350,0.5735673338911107,4
