eps,min_samples,avg_silhouette,n_clusters
0.05,250,0.9689750923679316,19
0.15000000000000002,250,0.8027341583248855,15
0.22500000000000003,350,-0.07189451780223861,1
0.125,200,0.8027341583259233,15
0.15000000000000002,150,0.8027341583198203,15
0.07500000000000001,100,0.9686645505261791,21
0.05,350,0.9712422569798684,10
0.175,250,0.7778232436757545,13
0.15000000000000002,350,0.8009762958259948,7
0.05,50,0.9686645505224644,21
0.175,150,0.7778232436756563,13
0.07500000000000001,150,0.9689750923508074,19
0.125,50,0.8027341583180706,15
0.2,300,0.48092660717815106,4
0.07500000000000001,250,0.9689750923410272,19
0.175,100,0.7778232436825725,13
0.1,250,0.968975092369166,19
0.22500000000000003,50,-0.06122158101887476,2
0.15000000000000002,100,0.802734158317984,15
0.07500000000000001,200,0.9689750923550494,19
0.22500000000000003,100,-0.06122158101978645,2
0.15000000000000002,300,0.8009762958230366,7
0.07500000000000001,50,0.9686645505381044,21
0.1,200,0.9689750923647985,19
0.22500000000000003,150,-0.06122158102007643,2
0.1,50,0.9686645505272773,21
0.125,300,0.8009762958242735,7
0.22500000000000003,300,-0.07189451780304963,1
0.1,350,0.9712422569632507,10
0.125,100,0.8027341583180402,15
0.175,50,0.7778232436768335,13
0.175,350,0.7811033579665069,7
0.175,300,0.7811033579417483,7
0.15000000000000002,200,0.8027341583347696,15
0.2,50,0.41780982504613173,7
0.125,150,0.8027341583185433,15
0.22500000000000003,200,-0.06122158101977375,2
0.1,100,0.9686645505370742,21
0.05,300,0.9712422569758143,10
0.05,150,0.9689750923419236,19
0.2,200,0.4178098250463124,7
0.2,100,0.4178098250497342,7
0.15000000000000002,50,0.8027341583243459,15
0.125,350,0.8009762958292117,7
0.125,250,0.8027341583213355,15
0.22500000000000003,250,-0.06122158101803523,2
0.1,150,0.9689750923567406,19
0.1,300,0.9712422569744047,10
0.175,200,0.7778232436839078,13
0.05,200,0.9689750923530528,19
0.07500000000000001,350,0.9712422569745566,10
0.2,250,0.41780982504616104,7
0.2,150,0.41780982504986075,7
0.05,100,0.9686645505329188,21
0.2,350,0.480926607180714,4
0.07500000000000001,300,0.9712422569686942,10
