NAME    LJ_WDEPTH   LJ_RADIUS   LJ_3B_WDEPTH    LJ_3B_RADIUS
# Rosetta atom_properties file
# Generated using itp_to_param.py
# Original file: system.top
# Author: tfobe
# Date: Friday, 17. June 2022
# Time: 07:07PM
# System: Linux-5.14.0-1042-oem-x86_64-with-glibc2.31
c47  -0.3635   1.95345   -0.3635   1.95345
c48  -0.3635   1.95345   -0.3635   1.95345
c49  -0.3635   1.95345   -0.3635   1.95345
c50  -0.3635   1.95345   -0.3635   1.95345
c51  -0.3635   1.95345   -0.3635   1.95345
c52  -0.3635   1.95345   -0.3635   1.95345
c53  -0.3635   1.95345   -0.3635   1.95345
c54  -0.3635   1.95345   -0.3635   1.95345
c55  -0.45539    1.8967  -0.45539    1.8967
n3   -0.70162    1.7998  -0.70162    1.7998
o5   -0.8795   1.70604   -0.8795   1.70604
c56  -0.3635   1.95345   -0.3635   1.95345
c57  -0.3635   1.95345   -0.3635   1.95345
c58  -0.3635   1.95345   -0.3635   1.95345
c59  -0.3635   1.95345   -0.3635   1.95345
c60  -0.3635   1.95345   -0.3635   1.95345
c61  -0.3635   1.95345   -0.3635   1.95345
c62  -0.3635   1.95345   -0.3635   1.95345
c63  -0.3635   1.95345   -0.3635   1.95345
c64  -0.3635   1.95345   -0.3635   1.95345
c65  -0.3635   1.95345   -0.3635   1.95345
c66  -0.3635   1.95345   -0.3635   1.95345
c67  -0.3635   1.95345   -0.3635   1.95345
c68  -0.3635   1.95345   -0.3635   1.95345
c69  -0.3635   1.95345   -0.3635   1.95345
c70  -0.3635   1.95345   -0.3635   1.95345
c71  -0.3635   1.95345   -0.3635   1.95345
c72  -0.3635   1.95345   -0.3635   1.95345
c73  -0.3635   1.95345   -0.3635   1.95345
c74  -0.3635   1.95345   -0.3635   1.95345
c75  -0.45539    1.8967  -0.45539    1.8967
n4   -0.70162    1.7998  -0.70162    1.7998
o6   -0.8795   1.70604   -0.8795   1.70604
c76  -0.3635   1.95345   -0.3635   1.95345
c77  -0.3635   1.95345   -0.3635   1.95345
c78  -0.3635   1.95345   -0.3635   1.95345
c79  -0.3635   1.95345   -0.3635   1.95345
c80  -0.3635   1.95345   -0.3635   1.95345
c81  -0.3635   1.95345   -0.3635   1.95345
c82  -0.3635   1.95345   -0.3635   1.95345
c83  -0.3635   1.95345   -0.3635   1.95345
c84  -0.3635   1.95345   -0.3635   1.95345
c85  -0.3635   1.95345   -0.3635   1.95345
o7   -0.70486   1.69778  -0.70486   1.69778
h70  -0.06866   1.44979  -0.06866   1.44979
c86  -0.45539    1.8967  -0.45539    1.8967
h71  -0.06866   1.44979  -0.06866   1.44979
h72  -0.06866   1.44979  -0.06866   1.44979
