NAME  ATOM LJ_RADIUS LJ_WDEPTH LK_DGFREE LK_LAMBDA LK_VOLUME
# Rosetta atom_properties file
# Generated using itp_to_param.py
# Original file: system.top
# Author: tfobe
# Date: Friday, 17. June 2022
# Time: 07:07PM
# System: Linux-5.14.0-1042-oem-x86_64-with-glibc2.31
c25      C   1.95345    0.3635       1.0       3.5      13.5
c26      C   1.95345    0.3635       1.0       3.5      13.5
c27      C   1.95345    0.3635       1.0       3.5      13.5
c28      C   1.95345    0.3635       1.0       3.5      13.5
c29      C   1.95345    0.3635       1.0       3.5      13.5
c30      C   1.95345    0.3635       1.0       3.5      13.5
c31      C   1.95345    0.3635       1.0       3.5      13.5
c32      C   1.95345    0.3635       1.0       3.5      13.5
c33      C   1.95345    0.3635       1.0       3.5      13.5
c34      C    1.8967   0.45539       1.0       3.5      13.5
n2       N    1.7998   0.70162       1.0       3.5      13.5
c35      C   1.95345    0.3635       1.0       3.5      13.5
o4       O   1.70604    0.8795       1.0       3.5      13.5
c36      C   1.95345    0.3635       1.0       3.5      13.5
c37      C   1.95345    0.3635       1.0       3.5      13.5
c38      C   1.95345    0.3635       1.0       3.5      13.5
c39      C   1.95345    0.3635       1.0       3.5      13.5
c40      C   1.95345    0.3635       1.0       3.5      13.5
c41      C   1.95345    0.3635       1.0       3.5      13.5
c42      C   1.95345    0.3635       1.0       3.5      13.5
c43      C   1.95345    0.3635       1.0       3.5      13.5
c44      C   1.95345    0.3635       1.0       3.5      13.5
c45      C   1.95345    0.3635       1.0       3.5      13.5
c46      C   1.95345    0.3635       1.0       3.5      13.5
c47      C   1.95345    0.3635       1.0       3.5      13.5
c48      C   1.95345    0.3635       1.0       3.5      13.5
c49      C   1.95345    0.3635       1.0       3.5      13.5
c50      C   1.95345    0.3635       1.0       3.5      13.5
c51      C   1.95345    0.3635       1.0       3.5      13.5
c52      C   1.95345    0.3635       1.0       3.5      13.5
c53      C   1.95345    0.3635       1.0       3.5      13.5
c54      C   1.95345    0.3635       1.0       3.5      13.5
c55      C    1.8967   0.45539       1.0       3.5      13.5
n3       N    1.7998   0.70162       1.0       3.5      13.5
o5       O   1.70604    0.8795       1.0       3.5      13.5
c56      C   1.95345    0.3635       1.0       3.5      13.5
c57      C   1.95345    0.3635       1.0       3.5      13.5
c58      C   1.95345    0.3635       1.0       3.5      13.5
c59      C   1.95345    0.3635       1.0       3.5      13.5
c60      C   1.95345    0.3635       1.0       3.5      13.5
c61      C   1.95345    0.3635       1.0       3.5      13.5
c62      C   1.95345    0.3635       1.0       3.5      13.5
