#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
5,0.8108932997119103,0.2636210026761562,1.0745143023880663,7.045840279335049
10,0.8111397660917324,0.7622260623472532,1.5733658284389858,20.372136656511454
15,0.810806471694664,1.5679080805576078,2.378714552252272,41.9057275260371
20,0.8096371600079352,2.666194094153911,3.475831254161846,71.2597917101161
25,0.8084188731919222,2.028168899393658,2.83658777258558,54.20719130712486
30,0.8071579358614118,3.5893196979510016,4.396477633812413,95.93231588721694
35,0.8053549288414273,4.036692941199145,4.842047870040572,107.88933139499397
40,0.8027892954232932,6.055875403842538,6.858664699265832,161.85634078421415
45,0.80109241631592,6.199903386509742,7.0009958028256625,165.70579948183766
50,0.7959423039460285,5.779667315068319,6.575609619014347,154.47408346174183
55,0.7861159160308837,6.326537157313098,7.1126530733439814,169.09036032483857
60,0.7681722849601453,5.8414213387553895,6.609593623715535,156.12459303073805
65,0.7461768935775038,5.48168027773683,6.227857171314334,146.50973673277835
70,0.7265491269748965,5.327690493912595,6.054239620887492,142.39402739831482
75,0.692815946465076,6.3888034826245,7.081619429089576,170.75456226046433
80,0.6524603296200775,6.595054253974723,7.247514583594801,176.26705928335332
85,0.6042705903978723,5.997775444605168,6.60204603500304,160.30349397433662
90,0.5513638129873648,6.186687622318221,6.738051435305586,165.3525796597539
95,0.5084773102561826,5.069493069412328,5.5779703796685105,135.4931439516368
100,0.47542086647060144,6.560008090927355,7.035428957397957,175.33037493450186
105,0.4407801806494682,5.392694371405007,5.833474552054475,144.13139632453664
110,0.3898345253885464,6.5208549432177225,6.910689468606269,174.28392255629672
115,0.32226192045568636,5.66581850081786,5.988080421273546,151.4312281768546
120,0.25819660117569465,4.505311147814511,4.763507748990206,120.41416440253846
125,0.20345886026292087,5.166584061312506,5.370042921575426,138.08811026519425
130,0.16369118768217578,5.431976880050812,5.595668067732988,145.18130615296542
135,0.1264927301125496,7.328807382377551,7.455300112490101,195.8781953260293
140,0.09896341867958135,7.954719434296059,8.05368285297564,212.60704584233744
145,0.08044894841508614,6.28411749023583,6.364566438650916,167.95660316628565
150,0.06489544922557373,5.978548528839493,6.043443978065067,159.78961315234613
155,0.050227675761515225,7.925404669476331,7.975632345237846,211.8235454814052
160,0.03420989930036786,8.46549612105468,8.499706020355049,226.25865522389412
165,0.02027369087318029,9.13076440044732,9.151038091320501,244.03938586342804
170,0.010213920001378414,7.209452975154397,7.219666895155775,192.68819118602488
175,0.0014577729606885647,7.984546839571335,7.986004612532024,213.40424762589467
