NAME    LJ_WDEPTH   LJ_RADIUS   LJ_3B_WDEPTH    LJ_3B_RADIUS
# Rosetta atom_properties file
# Generated using itp_to_param.py
# Original file: terphenyl_pmp_octamer.top
# Author: tfobe
# Date: Thursday, 30. June 2022
# Time: 06:55PM
# System: Linux-5.14.0-1042-oem-x86_64-with-glibc2.31
c34  -0.3635   1.95345   -0.3635   1.95345
c35  -0.3635   1.95345   -0.3635   1.95345
c36  -0.3635   1.95345   -0.3635   1.95345
c37  -0.3635   1.95345   -0.3635   1.95345
c38  -0.3635   1.95345   -0.3635   1.95345
c39  -0.3635   1.95345   -0.3635   1.95345
c40  -0.45539    1.8967  -0.45539    1.8967
n2   -0.70162    1.7998  -0.70162    1.7998
o2   -0.8795   1.70604   -0.8795   1.70604
c41  -0.3635   1.95345   -0.3635   1.95345
c42  -0.3635   1.95345   -0.3635   1.95345
c43  -0.3635   1.95345   -0.3635   1.95345
c44  -0.3635   1.95345   -0.3635   1.95345
c45  -0.3635   1.95345   -0.3635   1.95345
c46  -0.3635   1.95345   -0.3635   1.95345
c47  -0.3635   1.95345   -0.3635   1.95345
c48  -0.3635   1.95345   -0.3635   1.95345
c49  -0.3635   1.95345   -0.3635   1.95345
c50  -0.3635   1.95345   -0.3635   1.95345
c51  -0.3635   1.95345   -0.3635   1.95345
c52  -0.3635   1.95345   -0.3635   1.95345
c53  -0.3635   1.95345   -0.3635   1.95345
c54  -0.3635   1.95345   -0.3635   1.95345
c55  -0.3635   1.95345   -0.3635   1.95345
c56  -0.3635   1.95345   -0.3635   1.95345
c57  -0.3635   1.95345   -0.3635   1.95345
c58  -0.3635   1.95345   -0.3635   1.95345
c59  -0.3635   1.95345   -0.3635   1.95345
c60  -0.45539    1.8967  -0.45539    1.8967
n3   -0.70162    1.7998  -0.70162    1.7998
o3   -0.8795   1.70604   -0.8795   1.70604
c61  -0.3635   1.95345   -0.3635   1.95345
c62  -0.3635   1.95345   -0.3635   1.95345
c63  -0.3635   1.95345   -0.3635   1.95345
c64  -0.3635   1.95345   -0.3635   1.95345
c65  -0.3635   1.95345   -0.3635   1.95345
c66  -0.3635   1.95345   -0.3635   1.95345
c67  -0.3635   1.95345   -0.3635   1.95345
c68  -0.3635   1.95345   -0.3635   1.95345
c69  -0.3635   1.95345   -0.3635   1.95345
c70  -0.3635   1.95345   -0.3635   1.95345
c71  -0.3635   1.95345   -0.3635   1.95345
c72  -0.3635   1.95345   -0.3635   1.95345
c73  -0.3635   1.95345   -0.3635   1.95345
c74  -0.3635   1.95345   -0.3635   1.95345
c75  -0.3635   1.95345   -0.3635   1.95345
c76  -0.3635   1.95345   -0.3635   1.95345
c77  -0.3635   1.95345   -0.3635   1.95345
c78  -0.3635   1.95345   -0.3635   1.95345
c79  -0.45539    1.8967  -0.45539    1.8967
n4   -0.70162    1.7998  -0.70162    1.7998
c80  -0.3635   1.95345   -0.3635   1.95345
o4   -0.8795   1.70604   -0.8795   1.70604
c81  -0.3635   1.95345   -0.3635   1.95345
c82  -0.3635   1.95345   -0.3635   1.95345
c83  -0.3635   1.95345   -0.3635   1.95345
c84  -0.3635   1.95345   -0.3635   1.95345
c85  -0.3635   1.95345   -0.3635   1.95345
c86  -0.3635   1.95345   -0.3635   1.95345
c87  -0.3635   1.95345   -0.3635   1.95345
c88  -0.3635   1.95345   -0.3635   1.95345
c89  -0.3635   1.95345   -0.3635   1.95345
c90  -0.3635   1.95345   -0.3635   1.95345
c91  -0.3635   1.95345   -0.3635   1.95345
c92  -0.3635   1.95345   -0.3635   1.95345
c93  -0.3635   1.95345   -0.3635   1.95345
c94  -0.3635   1.95345   -0.3635   1.95345
c95  -0.3635   1.95345   -0.3635   1.95345
c96  -0.3635   1.95345   -0.3635   1.95345
c97  -0.3635   1.95345   -0.3635   1.95345
c98  -0.3635   1.95345   -0.3635   1.95345
c99  -0.45539    1.8967  -0.45539    1.8967
n5   -0.70162    1.7998  -0.70162    1.7998
c100 -0.3635   1.95345   -0.3635   1.95345
o5   -0.8795   1.70604   -0.8795   1.70604
c101 -0.3635   1.95345   -0.3635   1.95345
c102 -0.3635   1.95345   -0.3635   1.95345
c103 -0.3635   1.95345   -0.3635   1.95345
c104 -0.3635   1.95345   -0.3635   1.95345
c105 -0.3635   1.95345   -0.3635   1.95345
c106 -0.3635   1.95345   -0.3635   1.95345
c107 -0.3635   1.95345   -0.3635   1.95345
c108 -0.3635   1.95345   -0.3635   1.95345
c109 -0.3635   1.95345   -0.3635   1.95345
c110 -0.3635   1.95345   -0.3635   1.95345
c111 -0.3635   1.95345   -0.3635   1.95345
c112 -0.3635   1.95345   -0.3635   1.95345
c113 -0.3635   1.95345   -0.3635   1.95345
c114 -0.3635   1.95345   -0.3635   1.95345
c115 -0.3635   1.95345   -0.3635   1.95345
c116 -0.3635   1.95345   -0.3635   1.95345
c117 -0.3635   1.95345   -0.3635   1.95345
c118 -0.3635   1.95345   -0.3635   1.95345
c119 -0.3635   1.95345   -0.3635   1.95345
c120 -0.45539    1.8967  -0.45539    1.8967
n6   -0.70162    1.7998  -0.70162    1.7998
o6   -0.8795   1.70604   -0.8795   1.70604
c121 -0.3635   1.95345   -0.3635   1.95345
