ANGLES
! Rosetta atom_properties file
! Generated using itp_to_param.py
! Original file: terphenyl_pmp_octamer.top
! Author: tfobe
! Date: Thursday, 30. June 2022
! Time: 06:55PM
! System: Linux-5.14.0-1042-oem-x86_64-with-glibc2.31
! atom types     Kb    b0
c90  h58  1588.98018   1.08536
c91  c92  1443.10634   1.38719
c91  c99  1158.92472   1.49865
c92  c93  1443.10634   1.38719
c92  h59  1588.98018   1.08536
c93  h60  1588.98018   1.08536
c94  c95  1443.10634   1.38719
c94  h61  1588.98018   1.08536
c95  c96  1443.10634   1.38719
c95  h62  1588.98018   1.08536
c96  c97  1443.10634   1.38719
c96  c100 1116.51359   1.45463
c97  c98  1443.10634   1.38719
c97  h63  1588.98018   1.08536
c98  h64  1588.98018   1.08536
c99  n5   1408.19243    1.4501
c99  c170 1058.46054    1.5219
c99  h65   1480.1513    1.0939
n5   c119 1971.02257    1.3819
n5   h66  2020.52949   1.01948
c100 o5   2330.73913    1.2252
c100 n7   1971.02257    1.3819
c101 c102 1443.10634   1.38719
c101 c106 1443.10634   1.38719
c101 c107 1116.51359   1.45463
c102 c103 1443.10634   1.38719
c102 h67  1588.98018   1.08536
c103 c104 1443.10634   1.38719
c103 o17   1702.7233   1.36295
c104 c105 1443.10634   1.38719
c104 h68  1588.98018   1.08536
c105 c106 1443.10634   1.38719
c105 c108 1116.51359   1.45463
c106 h69  1588.98018   1.08536
c107 c114 1443.10634   1.38719
c107 c118 1443.10634   1.38719
c108 c109 1443.10634   1.38719
c108 c113 1443.10634   1.38719
c109 c110 1443.10634   1.38719
c109 h70  1588.98018   1.08536
c110 c111 1443.10634   1.38719
c110 h71  1588.98018   1.08536
c111 c112 1443.10634   1.38719
c111 c119 1116.51359   1.45463
c112 c113 1443.10634   1.38719
c112 h72  1588.98018   1.08536
c113 h73  1588.98018   1.08536
c114 c115 1443.10634   1.38719
c114 h74  1588.98018   1.08536
c115 c116 1443.10634   1.38719
c115 h75  1588.98018   1.08536
c116 c117 1443.10634   1.38719
c116 c120 1158.92472   1.49865
c117 c118 1443.10634   1.38719
c117 h76  1588.98018   1.08536
c118 h77  1588.98018   1.08536
c119 o6   2330.73913    1.2252
c120 n6   1408.19243    1.4501
c120 c171 1058.46054    1.5219
c120 h78   1480.1513    1.0939
n6   c161 1971.02257    1.3819
n6   h79  2020.52949   1.01948
c121 c122 1443.10634   1.38719
c121 c126 1443.10634   1.38719
c121 c127 1116.51359   1.45463
c122 c123 1443.10634   1.38719
c122 h80  1588.98018   1.08536
c123 c124 1443.10634   1.38719
c123 o18   1702.7233   1.36295
c124 c125 1443.10634   1.38719
c124 h81  1588.98018   1.08536
c125 c126 1443.10634   1.38719
c125 c128 1116.51359   1.45463
c126 h82  1588.98018   1.08536
c127 c134 1443.10634   1.38719
c127 c138 1443.10634   1.38719
c128 c129 1443.10634   1.38719
c128 c133 1443.10634   1.38719
c129 c130 1443.10634   1.38719
c129 h83  1588.98018   1.08536
c130 c131 1443.10634   1.38719
c130 h84  1588.98018   1.08536
c131 c132 1443.10634   1.38719
c131 c139 1116.51359   1.45463
c132 c133 1443.10634   1.38719
c132 h85  1588.98018   1.08536
c133 h86  1588.98018   1.08536
c134 c135 1443.10634   1.38719
c134 h87  1588.98018   1.08536
c135 c136 1443.10634   1.38719
c135 h88  1588.98018   1.08536
c136 c137 1443.10634   1.38719
c136 c140 1158.92472   1.49865
c137 c138 1443.10634   1.38719
c137 h89  1588.98018   1.08536
c138 h90  1588.98018   1.08536
c139 o7   2330.73913    1.2252
c139 n8   1971.02257    1.3819
c140 n7   1408.19243    1.4501
c140 c172 1058.46054    1.5219
c140 h91   1480.1513    1.0939
n7   h92  2020.52949   1.01948
c141 c142 1443.10634   1.38719
c141 c146 1443.10634   1.38719
c141 c147 1116.51359   1.45463
c142 c143 1443.10634   1.38719
c142 h93  1588.98018   1.08536
c143 c144 1443.10634   1.38719
c143 o19   1702.7233   1.36295
c144 c145 1443.10634   1.38719
c144 h94  1588.98018   1.08536
c145 c146 1443.10634   1.38719
c145 c148 1116.51359   1.45463
c146 h95  1588.98018   1.08536
c147 c154 1443.10634   1.38719
c147 c158 1443.10634   1.38719
c148 c149 1443.10634   1.38719
c148 c153 1443.10634   1.38719
c149 c150 1443.10634   1.38719
c149 h96  1588.98018   1.08536
c150 c151 1443.10634   1.38719
c150 h97  1588.98018   1.08536
c151 c152 1443.10634   1.38719
c151 c159 1158.92472   1.49865
c152 c153 1443.10634   1.38719
c152 h98  1588.98018   1.08536
c153 h99  1588.98018   1.08536
c154 c155 1443.10634   1.38719
c154 h100 1588.98018   1.08536
c155 c156 1443.10634   1.38719
c155 h101 1588.98018   1.08536
c156 c157 1443.10634   1.38719
c156 c160 1116.51359   1.45463
c157 c158 1443.10634   1.38719
c157 h102 1588.98018   1.08536
c158 h103 1588.98018   1.08536
c159 n8   1408.19243    1.4501
c159 h104  1480.1513    1.0939
c159 c173 1058.46054    1.5219
n8   h105 2020.52949   1.01948
c160 o8   2330.73913    1.2252
c161 o9   2330.73913    1.2252
c161 o10  1204.58712   1.34574
o10  c162 1466.92833    1.4259
c162 c163 1058.46054    1.5219
c162 c164 1058.46054    1.5219
c162 c165 1058.46054    1.5219
c163 h106  1480.1513    1.0939
c163 h107  1480.1513    1.0939
c163 h108  1480.1513    1.0939
c164 h109  1480.1513    1.0939
c164 h110  1480.1513    1.0939
c164 h111  1480.1513    1.0939
c165 h112  1480.1513    1.0939
c165 h113  1480.1513    1.0939
c165 h114  1480.1513    1.0939
o11  c166 1466.92833    1.4259
c166 h115  1480.1513    1.0939
c166 h116  1480.1513    1.0939
c166 h117  1480.1513    1.0939
o12  c179 1466.92833    1.4259
c167 h133  1480.1513    1.0939
c167 h134  1480.1513    1.0939
c167 h135  1480.1513    1.0939
o13  c178 1466.92833    1.4259
c168 h130  1480.1513    1.0939
c168 h131  1480.1513    1.0939
