bond_angle,eps,n_clusters,avg_silhouette_score,min_z_score*,minimum_energy,min_energy_cluster_rmsd,min_energy_avg_intermedoid_rmsd,noise_cluster,rmse_helix,rmse_cyl,min_medoid
100.0,0.06551724137931035,29,0.7143923131479433,0.0946777609772381,-16.533805686624074,0.010941931357153645,0.13736701011657715,True,8.425578815405176,44.674720647256464,medoid_7
102.0,0.05,32,0.8044078815306115,0.44935834406906955,-16.88659306461332,0.014210862279047637,0.14212697744369507,True,9.63442263767386,45.52685036757432,medoid_16
104.0,0.05,28,0.8557325051964911,0.0877386757274453,-16.848891780866186,0.015944529889139816,0.12557049095630646,True,10.157143746051897,45.85474765224068,medoid_0
106.0,0.05,26,0.8240106056195993,0.158693414565918,-16.807147592052836,0.01679628044329162,0.1302269697189331,True,9.311760343033429,59.77370909606042,medoid_20
108.0,0.05,35,0.8337171335173258,0.07640685044641617,-17.11691975397115,0.01185381946785721,0.1446641981601715,True,8.703228638392162,42.071267621738585,medoid_12
110.0,0.05,34,0.7712937449483357,0.07704627829953871,-18.37471362050802,0.02114297764068683,0.08145271986722946,True,3.700650377043897,32.848866106335464,medoid_8
112.0,0.05,38,0.6932839191989217,0.1519690446350189,-18.86322029510428,0.028934870339900012,0.08431728184223175,True,3.4465681176981504,33.90927685702402,medoid_8
114.0,0.05,28,0.849430168622399,0.19537167137426142,-18.164579587913625,0.020217749056984313,0.07983465492725372,True,7.706976886774934,53.333428158494364,medoid_8
116.0,0.05,44,0.7803806615054473,0.26798671222110904,-18.532945524634805,0.027600447381449032,0.08772572129964828,True,6.3463447758777365,29.908418421844537,medoid_6
118.0,0.05,44,0.6849474583918976,0.11226843580418822,-19.284385916714655,0.03634125266679765,0.08922979980707169,True,2.750774199121373,7.714211269539124,medoid_4
120.0,0.11206896551724138,12,0.17987174741296866,0.6716971153992581,-19.382933888257266,0.07438750057245866,0.16978026926517487,True,0.5030894182349662,1.3895558690082588,medoid_1
122.0,0.11206896551724138,6,0.10717561164038315,0.42186615181712994,-18.99287007697747,0.08966383816782632,0.19621190428733826,True,0.8319892321253695,1.411954975258935,medoid_2
124.0,0.12758620689655173,3,0.228155891466694,0.021471527830572684,-17.89504650945081,0.09725615971469037,0.22439073026180267,True,4.331137910957818,42.53241917404738,medoid_2
126.0,0.11206896551724138,3,0.16208774808280257,0.6979248240642554,-18.81084451753128,0.09158237960622878,0.2270939201116562,True,4.621540313031429,39.96379575019734,medoid_1
128.0,0.12758620689655173,3,0.17267010069162014,0.7774079124117959,-18.65935994732901,0.08229877356783695,0.22340703010559082,True,0.6563684625554033,0.720914752769949,medoid_2
130.0,0.09655172413793103,8,0.29130949996900085,0.40323089494567604,-17.23206059458922,0.10457267085977945,0.20440594851970673,True,7.127053305752108,46.8187502680618,medoid_5
132.0,0.09655172413793103,10,0.2624321924817876,0.18663107206074778,-16.838424921647917,0.06821516358391048,0.2096855491399765,True,8.395455653996496,45.810635893750984,medoid_8
134.0,0.09655172413793103,3,0.3085907604732769,0.1573449104677979,-14.41680789196016,0.12962319789763135,0.17165489494800568,True,8.926286422415723,46.36411632226316,medoid_1
136.0,0.05,45,0.5460116344031041,0.06025355038099536,-15.80127442846609,0.02217115581822575,0.07457495480775833,True,12.746079833551569,72.95774747371449,medoid_4
138.0,0.09655172413793103,3,0.3674785005287887,0.24463759618138228,-13.258742690141883,0.12642831352635608,0.19163544476032257,True,13.718659454075565,72.3439978847903,medoid_1
140.0,0.08103448275862069,3,0.40676274418337927,0.0005574935932097076,-12.929360186994451,0.10733818102626763,0.1808999925851822,True,16.88462317061866,51.31031077047741,medoid_1
142.0,0.08103448275862069,5,0.16543702903130728,0.041235158003388624,-12.215301174740263,0.1068374291892731,0.12966284155845642,True,15.550187910102757,50.11138198665033,medoid_0
144.0,0.05,38,0.5167672676953634,0.022616116791548475,-12.646700448183678,0.020629518692438027,0.0782722607254982,True,16.95521511440296,8.58299691797113,medoid_3
146.0,0.05,44,0.5900603612989276,0.0740581320863149,-11.532780248664235,0.018153061583957863,0.09579338878393173,True,14.164541125546751,63.42156694452261,medoid_9
148.0,0.08103448275862069,3,0.5027236894176332,0.01074391789372165,-9.286768060166185,0.10551020184416085,0.16293206810951233,True,16.786436030854947,43.60140047367731,medoid_1
150.0,0.06551724137931035,3,0.48503030609384423,2.488825357628388,-8.819188912018458,0.043238614633133575,0.37471577525138855,True,19.01921716498295,5.566715307767531,medoid_2
152.0,-,-,-,-,-,-,-,-,-,-,-
154.0,-,-,-,-,-,-,-,-,-,-,-
156.0,-,-,-,-,-,-,-,-,-,-,-
158.0,-,-,-,-,-,-,-,-,-,-,-
160.0,0.06551724137931035,3,0.21039839733036148,0.16155725836330007,-5.764032517292851,0.07042528376904719,0.07197006791830063,True,0.5365326656887534,0.6082149271687763,medoid_0
