bond_angle,eps,n_clusters,avg_silhouette_score,min_z_score*,minimum_energy,min_energy_cluster_rmsd,min_energy_avg_intermedoid_rmsd,noise_cluster,rmse_helix,rmse_cyl,min_medoid
100.0,-,-,-,-,-,-,-,-,-,-,-
102.0,-,-,-,-,-,-,-,-,-,-,-
104.0,-,-,-,-,-,-,-,-,-,-,-
106.0,-,-,-,-,-,-,-,-,-,-,-
108.0,-,-,-,-,-,-,-,-,-,-,-
110.0,-,-,-,-,-,-,-,-,-,-,-
112.0,-,-,-,-,-,-,-,-,-,-,-
114.0,-,-,-,-,-,-,-,-,-,-,-
116.0,-,-,-,-,-,-,-,-,-,-,-
118.0,-,-,-,-,-,-,-,-,-,-,-
120.0,0.15000000000000002,6,0.4255549771348381,2.2810724871408516,-20.73549989291941,0.07596298235429866,0.19585023820400238,False,0.44961105856236744,0.9353316609577886,medoid_0
122.0,0.15000000000000002,5,0.3903503496525607,0.2276519292322363,-20.98083027682402,0.06140806972762185,0.16099610924720764,False,0.906515302210735,1.5556930607072337,medoid_2
124.0,0.15000000000000002,3,0.4685691326340481,0.16797664123078795,-19.782679674502592,0.10198919193577645,0.22450554370880127,False,4.544717434018389,43.68538664585314,medoid_1
126.0,0.15000000000000002,3,0.5177599891664271,2.1383335692224317,-20.21651914270404,0.09210423362540152,0.22672221064567566,False,4.5141971928810225,40.544949639457506,medoid_1
128.0,0.15000000000000002,3,0.42645913808760266,1.802149291093647,-20.509863687659095,0.047727398750907785,0.209729865193367,False,0.5310894904798996,0.6238996366555624,medoid_2
130.0,-,-,-,-,-,-,-,-,-,-,-
132.0,-,-,-,-,-,-,-,-,-,-,-
134.0,-,-,-,-,-,-,-,-,-,-,-
136.0,-,-,-,-,-,-,-,-,-,-,-
138.0,-,-,-,-,-,-,-,-,-,-,-
140.0,-,-,-,-,-,-,-,-,-,-,-
142.0,-,-,-,-,-,-,-,-,-,-,-
144.0,-,-,-,-,-,-,-,-,-,-,-
146.0,-,-,-,-,-,-,-,-,-,-,-
148.0,-,-,-,-,-,-,-,-,-,-,-
150.0,-,-,-,-,-,-,-,-,-,-,-
152.0,-,-,-,-,-,-,-,-,-,-,-
154.0,-,-,-,-,-,-,-,-,-,-,-
156.0,-,-,-,-,-,-,-,-,-,-,-
158.0,-,-,-,-,-,-,-,-,-,-,-
160.0,-,-,-,-,-,-,-,-,-,-,-
