bond_angle,eps,n_clusters,avg_silhouette_score,min_z_score*,minimum_energy,min_energy_cluster_rmsd,min_energy_avg_intermedoid_rmsd,noise_cluster,rmse_helix,rmse_cyl,min_medoid
100.0,-,-,-,-,-,-,-,-,-,-,-
102.0,-,-,-,-,-,-,-,-,-,-,-
104.0,-,-,-,-,-,-,-,-,-,-,-
106.0,-,-,-,-,-,-,-,-,-,-,-
108.0,-,-,-,-,-,-,-,-,-,-,-
110.0,-,-,-,-,-,-,-,-,-,-,-
112.0,-,-,-,-,-,-,-,-,-,-,-
114.0,-,-,-,-,-,-,-,-,-,-,-
116.0,-,-,-,-,-,-,-,-,-,-,-
118.0,-,-,-,-,-,-,-,-,-,-,-
120.0,-,-,-,-,-,-,-,-,-,-,-
122.0,-,-,-,-,-,-,-,-,-,-,-
124.0,0.1642857142857143,3,0.46856913263404903,0.16797664123078795,-19.782679674502592,0.10198919193577644,0.22450554370880127,False,4.5447174340183984,43.68538664585314,medoid_1
126.0,0.1642857142857143,3,0.5177599891661895,2.1383335692224317,-20.21651914270404,0.0921042336254015,0.22672221064567566,False,4.514197192881049,40.544949639457506,medoid_1
128.0,0.1642857142857143,3,0.42645913808761843,1.8021492910936556,-20.5098636876591,0.047727398750907785,0.209729865193367,False,2.5758062004765865,0.6238996366555624,medoid_2
130.0,-,-,-,-,-,-,-,-,-,-,-
132.0,-,-,-,-,-,-,-,-,-,-,-
134.0,-,-,-,-,-,-,-,-,-,-,-
136.0,-,-,-,-,-,-,-,-,-,-,-
138.0,-,-,-,-,-,-,-,-,-,-,-
140.0,-,-,-,-,-,-,-,-,-,-,-
142.0,-,-,-,-,-,-,-,-,-,-,-
144.0,-,-,-,-,-,-,-,-,-,-,-
146.0,-,-,-,-,-,-,-,-,-,-,-
148.0,-,-,-,-,-,-,-,-,-,-,-
150.0,-,-,-,-,-,-,-,-,-,-,-
152.0,-,-,-,-,-,-,-,-,-,-,-
154.0,-,-,-,-,-,-,-,-,-,-,-
156.0,-,-,-,-,-,-,-,-,-,-,-
158.0,-,-,-,-,-,-,-,-,-,-,-
160.0,-,-,-,-,-,-,-,-,-,-,-
