bond_angle,eps,n_clusters,avg_silhouette_score,min_z_score*,minimum_energy,min_energy_cluster_rmsd,min_energy_avg_intermedoid_rmsd,noise_cluster,rmse_helix,rmse_cyl,min_medoid
100.0,-,-,-,-,-,-,-,-,-,-,-
102.0,-,-,-,-,-,-,-,-,-,-,-
104.0,-,-,-,-,-,-,-,-,-,-,-
106.0,-,-,-,-,-,-,-,-,-,-,-
108.0,-,-,-,-,-,-,-,-,-,-,-
110.0,-,-,-,-,-,-,-,-,-,-,-
112.0,-,-,-,-,-,-,-,-,-,-,-
114.0,-,-,-,-,-,-,-,-,-,-,-
116.0,-,-,-,-,-,-,-,-,-,-,-
118.0,-,-,-,-,-,-,-,-,-,-,-
120.0,-,-,-,-,-,-,-,-,-,-,-
122.0,-,-,-,-,-,-,-,-,-,-,-
124.0,-,-,-,-,-,-,-,-,-,-,-
126.0,-,-,-,-,-,-,-,-,-,-,-
128.0,0.1785714285714286,3,0.4264591380876523,1.802149291093647,-20.509863687659095,0.047727398750907785,0.209729865193367,False,3.35990535036241,0.6238996366555624,medoid_2
130.0,-,-,-,-,-,-,-,-,-,-,-
132.0,-,-,-,-,-,-,-,-,-,-,-
134.0,-,-,-,-,-,-,-,-,-,-,-
136.0,-,-,-,-,-,-,-,-,-,-,-
138.0,-,-,-,-,-,-,-,-,-,-,-
140.0,-,-,-,-,-,-,-,-,-,-,-
142.0,-,-,-,-,-,-,-,-,-,-,-
144.0,-,-,-,-,-,-,-,-,-,-,-
146.0,-,-,-,-,-,-,-,-,-,-,-
148.0,-,-,-,-,-,-,-,-,-,-,-
150.0,-,-,-,-,-,-,-,-,-,-,-
152.0,-,-,-,-,-,-,-,-,-,-,-
154.0,-,-,-,-,-,-,-,-,-,-,-
156.0,-,-,-,-,-,-,-,-,-,-,-
158.0,-,-,-,-,-,-,-,-,-,-,-
160.0,-,-,-,-,-,-,-,-,-,-,-
