eps,min_samples,avg_silhouette,n_clusters
0.05,50,0.9683733624965718,20
0.125,300,0.7596665278079543,7
0.05,250,0.9691202426725295,18
0.2,200,0.42215181462126855,2
0.1,300,0.7598305838112008,7
0.15000000000000002,350,0.6818789239896382,6
0.05,200,0.9683733624903781,20
0.15000000000000002,150,0.6690163126021788,9
0.2,300,0.42215181462224777,2
0.1,350,0.7598305838214834,7
0.175,200,0.6235253951603791,6
0.2,50,0.42215181462508117,2
0.15000000000000002,100,0.6690163126042965,9
0.15000000000000002,300,0.6818789239907814,6
0.15000000000000002,250,0.6671409220103179,8
0.125,250,0.7476157223461153,12
0.07500000000000001,150,0.9683733624986577,20
0.1,100,0.7507158671397721,14
0.2,250,0.42215181462235096,2
0.07500000000000001,100,0.9683733624844023,20
0.05,150,0.9683733625075682,20
0.2,150,0.42215181462296714,2
0.15000000000000002,200,0.6690163126096584,9
0.15000000000000002,50,0.6690163126061975,9
0.07500000000000001,200,0.9683733624842229,20
0.1,50,0.7507158671345241,14
0.175,250,0.6314369593462441,5
0.07500000000000001,250,0.9691202426765018,18
0.05,300,0.9713778909994115,13
0.125,350,0.7596665278080619,7
0.125,50,0.7500499862079559,14
0.07500000000000001,300,0.9713778910001848,13
0.175,300,0.6314369593369605,5
0.125,200,0.7500499862089084,14
0.1,250,0.7477447524114174,12
0.125,150,0.7500499862061891,14
0.07500000000000001,350,0.9713778909877635,13
0.05,350,0.9713778909879242,13
0.2,100,0.42215181462234125,2
0.175,150,0.6235253951649701,6
0.1,200,0.7507158671314329,14
0.175,50,0.6235253951654659,6
0.05,100,0.9683733624966717,20
0.125,100,0.7500499862157625,14
0.07500000000000001,50,0.9683733624811653,20
0.2,350,0.42215181461964335,2
0.1,150,0.7507158671276908,14
0.175,350,0.6314369593452388,5
0.175,100,0.6235253951649693,6
