eps,min_samples,avg_silhouette,n_clusters
0.05,250,0.9869405676713654,9
0.22500000000000003,300,0.6835363017446886,2
0.25,250,0.19730263759409086,1
0.175,100,0.683536301753826,2
0.22500000000000003,250,0.6835363017308222,2
0.15000000000000002,150,0.6708275538418763,2
0.22500000000000003,350,0.6835363017492508,2
0.15000000000000002,300,0.670827553835288,2
0.05,300,0.9876210271237726,8
0.05,350,0.9874492488406272,7
0.22500000000000003,200,0.683536301742254,2
0.07500000000000001,100,0.9860310862047393,16
0.1,200,0.44540424426909236,6
0.125,50,0.4478655025919671,7
0.175,200,0.6835363017468093,2
0.25,350,0.1973026375789824,1
0.07500000000000001,150,0.9861065266120588,12
0.25,150,0.19730263759521,1
0.22500000000000003,100,0.6835363017065968,2
0.1,350,0.4621227437712641,4
0.15000000000000002,100,0.6708275538146611,2
0.05,150,0.9861065265757666,12
0.15000000000000002,350,0.6708275538423163,2
0.05,50,0.9860539502950015,17
0.22500000000000003,50,0.6788200794497192,3
0.15000000000000002,250,0.6708275538477725,2
0.25,100,0.19730263758609956,1
0.1,300,0.46212274384424384,4
0.07500000000000001,300,0.987621027071496,8
0.22500000000000003,150,0.683536301756891,2
0.25,300,0.19730263759408262,1
0.125,100,0.4454042441936988,6
0.125,150,0.44540424422688624,6
0.175,50,0.6788200794656554,3
0.2,350,0.6835363017530846,2
0.2,50,0.6788200794663802,3
0.2,250,0.6835363017535682,2
0.175,250,0.6835363017468167,2
0.15000000000000002,200,0.6708275538588887,2
0.175,300,0.6835363017443133,2
0.07500000000000001,250,0.9869405675827956,9
0.05,200,0.9863638889870692,10
0.1,100,0.44540424427355374,6
0.125,300,0.46212274404307696,4
0.2,300,0.6835363017564849,2
0.07500000000000001,50,0.9860539501673947,17
0.25,200,0.19730263757922276,1
0.25,50,0.18612351141232833,2
0.2,150,0.6835363017527518,2
0.07500000000000001,200,0.9863638889745945,10
0.2,100,0.6835363017446777,2
0.1,50,0.4478655025852743,7
0.175,350,0.6835363017446877,2
0.1,250,0.45298143988307593,5
0.15000000000000002,50,0.6570049277429594,3
0.05,100,0.9860310860443795,16
0.125,250,0.4529814398491389,5
0.2,200,0.683536301763092,2
0.07500000000000001,350,0.9874492489260476,7
0.175,150,0.683536301744324,2
0.1,150,0.4454042442690994,6
0.125,350,0.46212274373184575,4
0.125,200,0.4454042443437216,6
