eps,min_samples,avg_silhouette,n_clusters
0.175,50,0.03977238011981781,2
0.1,150,0.4811770236467972,7
0.05,150,0.8314256911975558,19
0.15000000000000002,350,0.4477305051744288,3
0.125,150,0.4985750118030518,6
0.05,300,0.8680646977464153,8
0.1,100,0.4984572359903772,23
0.07500000000000001,200,0.4919446928651507,11
0.07500000000000001,250,0.49545062933115847,10
0.15000000000000002,100,-0.011486136051096975,3
0.125,100,0.4643651169454265,18
0.05,50,0.8216270425998604,60
0.05,350,0.87874126993668,6
0.175,200,0.09734313997602352,1
0.125,200,0.5179432778606717,6
0.07500000000000001,150,0.4879461131932365,11
0.175,150,0.09208280880049949,1
0.125,250,0.547816008752951,5
0.125,50,0.3944133164735317,28
0.07500000000000001,300,0.5178449980016253,8
0.125,300,0.5543941839390678,3
0.07500000000000001,100,0.5572633612693826,31
0.05,100,0.8193478822448653,41
0.125,350,0.5546302369430893,3
0.1,200,0.48277122264626876,5
0.1,50,0.4346976727812677,36
0.15000000000000002,50,-0.02562595875460968,5
0.15000000000000002,150,0.03500748270531074,1
0.07500000000000001,50,0.5764571143266173,47
0.15000000000000002,250,0.3139263055590113,2
0.05,200,0.8518171049799608,15
0.15000000000000002,300,0.44746411715280815,3
0.05,250,0.8646501112322954,11
0.07500000000000001,350,0.5383964354245436,9
0.1,300,0.47477569445776996,5
0.175,350,0.09457937644934053,1
0.175,100,0.03977238011963724,2
0.15000000000000002,200,0.31876221902627694,2
0.175,300,0.09734313997598919,1
0.1,350,0.4747756944576541,5
0.1,250,0.4827712226453719,5
0.175,250,0.09734313997601766,1
