eps,min_samples,avg_silhouette,n_clusters
0.07500000000000001,150,0.5430254532565422,10
0.05,350,0.7303755594435871,4
0.07500000000000001,50,0.5192391949888127,61
0.1,300,0.4257806101641546,10
0.15000000000000002,300,-0.000813160289259412,1
0.07500000000000001,200,0.5013411940031153,10
0.125,300,0.036252487073514354,2
0.05,250,0.7156471753025192,6
0.1,100,0.28232996654211684,18
0.125,350,0.03625248707350721,2
0.1,250,0.3987304256699587,7
0.05,150,0.738827850008497,13
0.05,200,0.7435921492205467,9
0.07500000000000001,100,0.5079771064193518,53
0.05,300,0.7303755594443495,4
0.125,200,0.03920383554327035,2
0.125,150,0.03883375954224478,2
0.1,50,0.28368619504360243,21
0.1,150,0.3318561044626053,7
0.07500000000000001,300,0.7067709693851059,3
0.1,350,0.4467911001702729,10
0.125,100,-0.09528201692933395,5
0.07500000000000001,350,0.7138322541290302,2
0.15000000000000002,250,-0.0008131602891627125,1
0.125,50,-0.09190332614504927,6
0.07500000000000001,250,0.4792116804863154,7
0.125,250,0.03920383554321827,2
0.05,100,0.7707086306677937,70
0.05,50,0.76569154676038,86
0.15000000000000002,350,-0.0008131602891460777,1
0.1,200,0.39563898631672395,7
